HUL_DRS_DESCRIPTOR_ORACLE,uri_type_IDS,HUL_DRS_FILE_ORACLE
433091416,urn-3:FHCL:523947,2453335;2453351
433091418,urn-3:FHCL:523948,2453336;2453352
433091420,urn-3:FHCL:546835,2514113;3868354;2514112
433091422,urn-3:FHCL:546836,2514115;3868356;2514114
433091424,urn-3:FHCL:546837,2514117;3868358;2514116
433091426,urn-3:FHCL:546838,2514119;3868361;2514118
433091428,urn-3:FHCL:546839,2514121;3868364;2514120
433091430,urn-3:FHCL:546840,2514123;2514122
433091432,urn-3:FHCL:546841,2514125;2514124
433091434,urn-3:FHCL:546842,2514127;2514126
433091436,urn-3:FHCL:546843,2514129;2514128
433091438,urn-3:FHCL:546844,2514131;2514130
433091440,urn-3:FHCL:546845,2514133;2514132
433091442,urn-3:FHCL:546846,2514135;2514134
433091444,urn-3:FHCL:546847,2514137;2514136
433091446,urn-3:FHCL:546848,2514139;2514138
433091448,urn-3:FHCL:546849,2514141;2514140
433091450,urn-3:FHCL:546850,2514143;2514142
433091452,urn-3:FHCL:546851,2514145;2514144
433091454,urn-3:FHCL:546852,2514147;2514146
433091456,urn-3:FHCL:546854,2514151;3884303;2514150
433091458,urn-3:FHCL:546853,2514149;3884301;2514148
433091460,urn-3:FHCL:546855,2514153;3884305;2514152
433091462,urn-3:FHCL:546857,2514157;3884309;2514156
433091464,urn-3:FHCL:546856,2514155;3884307;2514154
433091466,urn-3:FHCL:546858,2514159;3884311;2514158
433091468,urn-3:FHCL:546859,2514161;3884313;2514160
433091470,urn-3:FHCL:546860,2514163;3884315;2514162
433091472,urn-3:FHCL:546861,2514165;3884317;2514164
433091474,urn-3:FHCL:546862,2514167;3888937;2514166
433091476,urn-3:FHCL:546863,2514169;3888939;2514168
433091478,urn-3:FHCL:546864,2514171;3888941;2514170
433091480,urn-3:FHCL:546865,2514173;3888943;2514172
433091483,urn-3:FHCL:546866,2514175;3888945;2514174
433091484,urn-3:FHCL:546867,2514177;3888947;2514176
433091486,urn-3:FHCL:561456,2567236;3868372;2567235
433091488,urn-3:FHCL:561455,2567234;3868368;2567233
433091490,urn-3:FHCL:561457,2567238;3868375;2567237
433091492,urn-3:FHCL:561459,2567242;2567241
433091494,urn-3:FHCL:561458,2567240;3868379;2567239
433091496,urn-3:FHCL:561460,2567244;2567243
433091498,urn-3:FHCL:561461,2567246;2567245
433091500,urn-3:FHCL:561462,2567248;2567247
433091503,urn-3:FHCL:561463,2567250;2567249
433091505,urn-3:FHCL:561464,2567252;2567251
433091507,urn-3:FHCL:561465,2567254;2567253
433091509,urn-3:FHCL:561466,2567256;2567255
433091511,urn-3:FHCL:561467,2567258;2567257
433091514,urn-3:FHCL:561468,2567260;2567259
433091516,urn-3:FHCL:561469,2567262;2567261
433091519,urn-3:FHCL:561471,2567266;2567265
433091520,urn-3:FHCL:561470,2567264;2567263
433091522,urn-3:FHCL:561472,2567268;2567267
433091524,urn-3:FHCL:561473,2567270;2567269
433092430,urn-3:FHCL:5025272,27178124
433092962,urn-3:FHCL:13497022,49970091
433094684,urn-3:FHCL:8822162,43606963;43606964
433094900,urn-3:FHCL:8979632,43924700
433094962,urn-3:FHCL:2554028,11899360
